GP,CD4.A,CD4.B,CD4.C,CD4.D,CD4.E,CD4.F,CD4.G,CD4.H,CD4.I,CD4.P,CD4.Q,CD4.R,CD4.S,CD4.T,CD4.U,CD4.wM,CD4.wN,CD4.wZ,CD4.X,CD4.Y,CD8.A,CD8.B,CD8.C,CD8.D,CD8.E,CD8.F,CD8.G,CD8.H,CD8.I,CD8.J,CD8.K,CD8.P,CD8.Q,CD8.R,CD8.S,CD8.T,CD8.wM,CD8.wU,CD8.wV,CD8.wX,CD8.wY,CD8aa.A,CD8aa.B,CD8aa.C,CD8aa.D,CD8aa.E,CD8aa.P,CD8aa.wM,DN.A,DN.B,DN.C,DN.D,DN.E,DN.F,DN.G,DN.H,DN.I,DN.J,DN.P,DN.wM,DP.wA,DP.wB,DP.wC,DP.wD,DP.wE,DP.wF,DP.wG,DP.wH,DP.wM,DP.wP,DP.wX,DP.wY,gdT.A,gdT.B,gdT.C,gdT.D,gdT.E,gdT.F,gdT.G,gdT.H,gdT.I,gdT.J,gdT.K,gdT.P,gdT.Q,gdT.R,gdT.S,gdT.T,gdT.U,gdT.V,gdT.wM,gdT.X,gdT.Z,Treg.A,Treg.B,Treg.C,Treg.D,Treg.E,Treg.F,Treg.P,Treg.wM,Tz.A,Tz.B,Tz.C,Tz.D,Tz.P,Tz.wM
GP1,0.688503774520276,0.659021303038749,0.638708986237958,0.648000542608718,0.688172839503319,0.689956438266499,0.716775726522364,0.667068820963582,0.701678492442021,0.866927910280594,0.734692803228752,0.817679514355762,0.6812439891608,0.74175443727613,0.723768770886569,0.568562227230264,0.52189270496743,0.789266192935994,0.870715270275577,0.98407271331265,0.65486645508602,0.639794050187384,0.717973065192765,0.699015569899206,0.67424207009432,0.648512746612201,0.692367893823845,0.7113660831093,0.747118297176495,0.770726937233481,0.875156918356042,0.832933397451888,0.736616606837247,0.734816087311696,0.866294222325125,0.747379332785923,0.577767046902729,0.580985406961696,0.763636562181494,0.70633705983792,0.690553632519212,0.746886498534609,0.714329410092906,0.978313228031999,0.895878322532355,0.880957311794373,0.880502078653321,0.660968645206383,0.720163057590558,0.703582748176908,0.70961046852455,0.764535391689879,0.717885655181224,0.847936187576094,0.727672174625785,0.74271701324318,0.703191081651137,0.686679202697594,0.847204676770538,0.669328762713321,0.755613387127791,0.782779422756538,0.593119823109288,0.764410027310992,0.718655830643913,0.807647242575911,0.594079162539463,0.783353386265833,0.615842873610509,0.855936528484127,0.82837370878274,1,0.816528944905605,0.971588499080774,0.983377873182766,0.900743541911137,0.730214012647355,0.829090524222712,0.70163601967012,0.644517341343832,0.704588134651807,0.706984874267948,0.701898067589251,0.901950490922081,0.688831180965037,0.82364517321015,0.808286595888713,0.859424842435457,0.633190061271502,0.659617404127644,0.670669981431955,0.720593890587638,0.745275523191059,0.632331331439742,0.644334137831414,0.745325929657796,0.732304048731796,0.735958942551648,0.744629467155876,0.857759608638508,0.625809288482803,0.71227914547875,0.720913569305367,0.650887172750793,0.809828599128938,0.829120920165886,0.651165366345481
GP2,0.0342295389708106,0.045554192839511,0.099656206326001,0.0571220280318632,0.0845524762403187,0.0548848443462995,0.037303250287778,0.058123982559947,0.0715548417055101,0.0364647927130548,0.0330317104746905,0.011629284151541,0.0218814064450891,0.0267606114530748,0.0253283398858407,0.862736928791313,0.00139402831356236,0.0117804491690703,0.0213121383350151,0.057125707363904,0.0581980015371405,0.0355725400439365,0.0542865683129053,0.0345048950175916,0.042532726483036,0.0535203784728137,0.0147620043050129,0.0224938218011514,0.0167871193517432,0.0178078169384786,0.0065986327854654,0.0674539473065441,0.0198155133248451,0.0226190062612735,0.057437005546227,0.0267996942555272,0.949876073290347,0.0433285528842986,0.00791700038572899,0.0413496854967309,0.0189585270766704,0.0222212060889573,0.0202796059595999,0.0184861969018249,0.119887203532241,0.0161458836587826,0.0239695077883399,0.90322547910367,0.0564634607253344,0.0385378852385834,0.0115655842905644,0.0212983101870343,0.0191565629314292,0.0258706120340771,0.0476105876328903,0.0155133451867316,0.0139082112537719,0.028004728582234,0.0294155996577337,1,0.0556650621895249,0.04582620357049,0.361253898246432,0.00698116199526424,0.00316824280561727,0.0442063488823115,0.031277756527631,0.0682047452228717,0.785505559756067,0.0826456985580397,0.0279700498189443,0.0521071434451228,0.0195738042376347,0.0166084181042709,0.0188184566346336,0.113954554160037,0.470236747721781,0.0158250937551754,0.0208615673026051,0.0334069170696034,0.0333774543074233,0.176443708100189,0.0684074599708237,0.147896973184043,0.0197461174655294,0.0278244036934294,0.0168556555642127,0.0240954705590099,0.0140840373548245,0.0284446606647571,0.934742908194678,0.0021163503004254,0.0114033749115592,0.0532832523163015,0.0733406411680142,0.0404509835275187,0.0335467964746458,0.0253083443202804,0.0345560029111287,0.0243768058721092,0.864915105672107,0.0334870005129677,0.0231764856712255,0.0390941624122068,0.0439682274745261,0.0749529360797996,0.903946785750292
GP3,6.36800808769092e-05,0.000118953006987524,0.000219895092383651,0.000182981116053182,7.77633300008284e-05,0.000427207852453889,0.000194066006212047,0.00104843744897476,0.00202097971400211,0.0116074798168394,0.0471699321842779,0.000608335952900036,0.00109775823809072,0.00151952265414641,0.0062062862141369,0.00159964779652096,1.80225005771852e-06,0.232439603712271,0.00110569068404902,0.0336293482267018,8.79858082714505e-05,0.000136298491694043,0.00236397254745814,0.00106292183503186,0.000390749692800729,1.8657527836435e-06,0.000493277063469777,0.0286936945482579,0.0199379766281326,0.00248005201726118,0.0158877167010503,0.0141657283823832,0.0733353470023104,0.0844765187652643,0.384803264555075,0.151539628319273,0.00204567200677155,0.0473956615544086,0.149993913544558,0.00903864867853527,0.00408885417940988,0.187320941628674,0.0077793554663325,0.977633600740078,0.944222537219297,0.349187260042816,0.309924201534081,0.322683963489343,0.00427136147771618,0.0045946851092634,0.0028260112369976,0.0129322333952613,0.0296891460466778,0.0974586244881426,0.0331278580163629,0.0966625002547724,0.0165801080800803,0.0045824518761562,0.0901131619747431,0.0186854177731717,0.000393527299954847,0.0142193714162446,0.00022338251731469,0.157350183775257,0.147079169247873,2.17157778145684e-06,2.99055807969809e-06,1.94965613424661e-06,0.00365974944981931,0.00590053910269108,0.0908832473973253,0.606411831936597,0.538534446323489,1,0.961619517007019,0.941335661002548,0.565723448337769,0.594781123378272,0.0069943158977171,0.00495088663676798,0.0488718695909381,0.0812410848040217,0.00399079242776715,0.629257746528198,0.00028084953285672,0.00217884023126182,0.00243958903024304,0.00966167479975193,0.0039795214098576,0.000392607563477081,0.289526358592327,1.75155538800662e-06,0.84548039241479,0.00048121330288627,0.000275935056050118,0.00107692431801834,0.00597756886460396,0.0016900850725125,0.000439649507884736,0.00178172093453922,0.00278739280337309,0.0051075065246864,0.0165082548945336,0.00157936391803554,0.00164636841462108,0.00278802351757475,0.0118125020365476
GP4,0.456188176505459,0.324557547315969,0.323870561046277,0.367647430258918,0.418886805262878,0.369266294987105,0.359425561427767,0.474367765455927,0.419872469322596,0.470656478651325,0.428395649246684,0.333436517280729,0.324495224808903,0.500196193836777,0.565176879011666,0.327217128926395,1,0.280843213733847,0.391310583884005,0.419925680569237,0.359286341530759,0.290685652831579,0.352267734481944,0.357794006579511,0.401066880274575,0.323987884952235,0.455791052463861,0.407321688327004,0.37431100569175,0.399111487123855,0.407907511182616,0.366657065245221,0.376717415530157,0.436921776978021,0.34488224695161,0.393715516564323,0.268746468954107,0.336748767364966,0.234081037096747,0.539350841958566,0.242900648778801,0.386277425205149,0.437166532353448,0.40874287726686,0.248688978227516,0.343135168847568,0.505908692744448,0.32491690025678,0.409204801521465,0.321738914420416,0.477959873399574,0.311594050968008,0.329560896620965,0.352732277138252,0.374497804019392,0.379320169084205,0.396477536513183,0.399566097697355,0.432493624763948,0.216196504290048,0.32805319745797,0.308446303627574,0.163876871725565,0.248178751613694,0.245267783684424,0.285562785821514,0.284497129151195,0.225358517385329,0.334506626762764,0.291020245756004,0.338342149254822,0.285756164351173,0.340309921572927,0.398340032379777,0.423059922227186,0.232004062121001,0.274163054559563,0.409058443438128,0.397611968754007,0.475598833886282,0.387273630340844,0.326731735010671,0.363486795963791,0.508064025263743,0.349414532743273,0.270997240187589,0.613846892289376,0.361744748708755,0.580029356481874,0.384573507341079,0.383689285424409,0.0838818917104139,0.346660584006452,0.408076625966078,0.389551732459143,0.472723463315991,0.455076255834865,0.445567597902023,0.331754902652447,0.358608261269453,0.325294585929687,0.424543820369699,0.418581899752361,0.462925754402861,0.300763272042078,0.487769617846895,0.309298269428565
GP5,0.000460461468054933,0.000561133894933908,0.00195943513725984,0.000748444417455517,0.00298047112160899,0.00330623772536633,0.00818133292321757,0.0114020913172977,0.0202618222512834,0.805939987134465,0.012201503633894,0.0191216488126441,0.00104204196453222,0.00328475680977996,0.000112162020793748,0.00249272413548697,0.00122999263209497,0.0188357040389919,0.00185075899687559,0.00439999468459271,0.00141400422776742,0.000865354341716648,0.0106809722036416,0.00542464107002037,0.00723952777536214,0.00704924256174404,0.00144319025245631,0.0042302565291853,0.00225680231683183,0.00399027695073881,0.318688361052357,0.736819980284379,0.0026795402966371,0.00279751405824524,0.0106888203715277,0.00952814366438208,0.00340345743142022,0.0298912929766075,0.0217148830726052,0.00681748596567303,0.00218473082857531,0.000967815012277667,0.000971264250585808,0.00073721016821628,0.00280580938412288,0.000971519426778145,0.413487137752892,0.00220873460183175,0.00202927861644919,0.00759911779075935,0.000959031385272907,0.00215479766020322,0.000368539985725291,0.0503859287621058,5.68116752237438e-05,0.0281962655932043,0.0010771123076258,0.00211327531678931,1,0.00616003588998912,0.00660408015395942,0.00450508752717937,0.00297497599032222,0.0147498047549343,0.0258356192222813,1.91194784381782e-05,0.00293771607649448,0.0106703860653719,0.0124889482147893,0.96854484151652,0.00181604214410828,6.43581793580887e-05,0.00345723067982326,0.000361529805764225,0.00128879039754549,0.000563367075044119,0.0177210422545681,0.000944609985789073,0.0009094830000402,0.000297953216553596,0.00155359463459158,0.176618407416375,0.00124389279212596,0.424377339108187,0.000745752696934801,0.00362410075064733,0.000730707017955321,0.00369080869852055,0.001552387422332,0.00215892391054517,0.00560038299146319,4.27880962911514e-05,0.00157999870219407,0.0009674566104689,0.00169820447746785,0.00633972058101627,0.00147425516525586,0.00109700132970489,0.00115966247495649,0.801035614780796,0.00401424347863223,0.00170674098208924,0.00126114964185379,0.00141149128960886,0.00143437389135813,0.751622058183421,0.00317820477339494
GP6,0.000369430809774938,0.00062615148055011,0.000472032203044317,0.000364745592221886,0.000595116915717929,0.0101998076725571,0.0385783415550258,0.0342471254718457,0.0589797425114064,0.174448796732849,0.179302097153127,0.104554389015581,0.0357489893808001,0.480802201774669,0.482817582605662,0.0158604417516691,0.00103427037148446,0.0156553776352067,0.612107247516104,1,0.000419426773499878,0.000840937481564364,0.00225352338991956,0.00383383915407295,0.000926417479811994,0.000577844975823751,0.0194697909062928,0.0395091702919658,0.0432815109631951,0.0522372554391756,0.0760726465273395,0.0372066207815318,0.0833973921628643,0.0696257165872071,0.0958672706648378,0.0026258110636438,0.00538119055532844,0.0107227893188537,0.0070066219642203,0.0336287869986349,0.0152838255427043,0.00173496372029681,0.0117826783767414,0.00511318881344898,0.0028880056067386,0.00452414934608684,0.00619758965721044,0.00373679303208419,0.0118972922579506,0.0131920279149104,0.000869015119077079,0.00188970625713376,0.0927129212120524,0.00507458862591055,0.00466045449626828,0.0313927315612692,0.0097313652183235,0.045750941622395,0.0193602136309099,0.0213463214698326,0.000812396943719214,0.061520850950788,0.00100702380257158,0.00935064646618646,0.0108763967580976,0.000717614183305454,4.08976453378518e-06,0.0273296682232372,0.0112691916718099,0.0512504946357422,0.0117789790487732,0.0182716132481827,0.0257361486865362,0.00441249792255267,0.00377811281353617,0.003272669756056,0.0162774761807368,0.00161967282984522,0.0044478214397776,0.0139618629842114,0.0024571068148945,0.00978585837661102,0.00100675212359103,0.130560302678751,0.30684841485211,0.749598518677213,0.684209962490961,0.76899460380344,0.544403732917024,0.425934985817439,0.112877177655403,0.0502780693162762,0.176432324770888,0.00972612499705715,0.0686388722075454,0.168578235445023,0.369268669366883,0.44889391857297,0.16547528250867,0.103153212900606,0.117966263335999,0.0311265678295651,0.00969225694181935,0.00989218419700588,0.437832411507937,0.0710278686816854,0.205399708428645
GP7,0.000374432483012438,0.000297469886679829,0.000721610029563994,0.000298922911547251,0.00042146614181162,0.000216020752877252,0.000468975748676046,0.000122832117430014,0.00216058290649823,0.00122664640561443,0.000129586887888991,7.82084648295237e-07,8.04665261833312e-07,0.00131646174899788,7.58920444277103e-07,0.00100978297052695,7.95338309596559e-07,0.00522874215247622,0.000292679818120481,0.000513619413566479,0.000745014224607211,0.000282168297770337,0.000322886490723656,0.000338397860158161,0.000603005926499896,0.0002315909746099,7.98554179693834e-07,0.00050105463713688,7.78899988484707e-07,0.000138205770834799,0.000383774846438454,0.0014482254973576,0.000432924947893724,0.000584732458474816,0.000326266091141347,0.000960152059176488,0.00155144807283342,0.00122765334848577,0.000696230324194276,0.00394185437627472,7.8837198811324e-07,0.000952262209643326,0.00102114656643406,0.000983298116227492,0.00110867696079052,0.000901885273724539,0.000707166874237883,0.000323663342648026,0.00581709849285692,0.00684491052090606,0.00598335628742419,0.00125151195735843,0.00291244153110068,7.52400498999201e-07,7.27581944021037e-07,0.0203712756544641,0.00137296820837925,0.00125133110393496,0.000858178010162095,0.00239820894738405,0.0121483224071307,0.00631554052438667,0.00626578019671351,0.00538550572500125,0.0027813052241459,0.0887442503796429,1,0.00195458245744066,0.169122592278365,0.142220902125733,0.000444672720766782,0.00106559896657819,0.00214209708765747,0.00115431800663583,0.000154095906114575,0.00239624996303545,0.00103400951717709,0.000933395399192692,0.000476596969958414,0.000249616076557135,0.00541626653769142,0.00331341774868243,0.00334360900514264,0.0669021110855782,0.000307312531152273,0.00103494752421061,0.00107730010532532,9.0405961466199e-05,0.000880828519467691,0.000384108000011375,0.00322843693702644,8.29759863262709e-07,0.188677487507376,0.00058810166069974,0.000512235012436732,0.000366731207657387,0.000445106393584172,0.000147576201105878,0.00028658862039514,0.00015200011489136,0.00115420133196909,0.000577376710502723,0.000212914342449239,1.57648013514386e-05,0.00047353821142211,0.00102414984855177,0.00249961879849069
GP8,6.15540600078134e-06,2.9238277547658e-05,2.90742020941395e-05,3.49197195252671e-08,3.29848404942142e-08,3.56624743571736e-08,3.39878265290617e-05,0.000189158829933457,0.000309118794574919,0.00011165583923695,0.000258918856898366,3.56705736380974e-08,3.91956732590375e-08,0.000895027987239358,4.3375425378266e-08,0.000275961905450156,3.82389679304497e-08,3.46764409510724e-08,0.000260746830364198,0.00129967698195858,1.02752492761384e-06,2.23314980656256e-05,3.32093347846759e-08,3.12313880612967e-05,3.68453302004423e-08,3.65597310828829e-08,3.67437031370042e-08,9.23243540799346e-05,3.83668377573437e-08,3.60753510489753e-08,3.40721854150561e-08,0.000212771786396173,0.000711719896153695,0.000166920137663432,3.9187927310009e-08,0.0017683048933733,0.000147174632941914,3.6966686157228e-08,0.000545973661295127,3.65875443336112e-08,3.71590105623795e-08,0.000369045220784414,0.00042461439957174,3.59608414096625e-08,9.54353992705431e-05,0.000729484940675933,0.00047217588239687,3.68016879135906e-08,7.84608232095881e-05,8.05354211418498e-05,3.57750555514138e-08,0.000325480723525241,0.0112352528254645,3.8873662274591e-08,3.30159417827045e-08,0.00259374021782605,3.66832824466503e-08,3.40139365696936e-08,0.00287538170911753,0.00176794255079248,3.43625396858538e-08,3.55252038923588e-08,3.39153279367442e-08,3.48177563837777e-08,2.80540460507848e-05,4.12720000237621e-08,3.21829924580828e-08,3.652077252176e-08,3.63786328342898e-08,3.74129762760902e-08,0.00110764002631117,0.00621973729670801,1.47562264139222e-05,6.53699608334416e-05,3.6395689602372e-08,0.000613275921354342,0.00468285919154719,0.00066496323485749,0.000898425354136478,3.53039340801081e-08,0.000905761583089187,3.66956834677371e-08,3.4071831387419e-08,0.321444750149979,4.75426654589293e-08,0.00224351477319293,0.000208839496603997,0.000965104268964882,0.00314568991685211,0.000133508346119946,0.00401803019206882,5.01276306184993e-08,1,3.00957680527013e-05,1.57058361048037e-05,4.08695711842935e-08,4.93527435312918e-05,0.000459874718600253,8.16147740498335e-05,4.48898475205966e-08,0.000630354726908146,7.11895022264352e-05,0.000467466704473095,7.23017942460874e-05,0.00144596777959198,3.40758229163973e-08,0.00443028199702098
GP9,0.152237069095608,0.139663499961831,0.330262330749191,0.220594120667576,0.207722705511022,0.233154010292156,0.125388384697939,0.166275866153537,0.171353260077257,0.136668309641107,0.104532015084037,0.100828736672659,0.10617278678448,0.0807980869754741,0.084662863792854,0.27962673178031,0.034055422674331,0.212352884411982,0.0917141029150092,0.0858636974983095,0.241460072060071,0.117617502820482,0.111653513228197,0.198045976099223,0.164848548398626,0.229854308950384,0.105173798446987,0.120636758440523,0.107752086997532,0.115483213796162,0.13026163082812,0.174630869441185,0.115746695026848,0.0981630457729306,0.11017844910182,0.123586298220753,0.262432103948509,0.290218699676253,0.228936322183135,0.121399253741889,0.118766827223681,0.121991877133865,0.118846684396263,0.124826960355932,0.134121743454406,0.106626388741288,0.107897390459548,0.122672667346202,0.108024314208305,0.141020815354805,0.0806488558276753,0.0914667417038331,0.0950355450404857,0.102157741897126,0.102073884266776,0.0978790685098089,0.0957434188121399,0.0790464511149303,0.0960688892187827,0.1258494201492,0.131547224179389,0.133341084523538,1,0.225188851332697,0.220654311845748,0.129177484003488,0.119699490580236,0.220550576291038,0.356963077043778,0.226551566694037,0.0874836730531102,0.1152178624138,0.1279173842195,0.127767366687798,0.109715125930137,0.13593596661769,0.115361904404548,0.106669460300522,0.101608430932511,0.148780317628225,0.109459448203497,0.180018768109595,0.196438858246907,0.101734765430264,0.122226077106643,0.093580154019147,0.0964995754658185,0.0979619213728638,0.160260233340761,0.169005336876053,0.114186413355589,0.0596336850626182,0.0856356717505146,0.198426465464432,0.190434714932799,0.157015445556218,0.123595069774594,0.116072702712972,0.138482115415438,0.151761800124159,0.110226600036727,0.103549664097172,0.11258834423513,0.146426860725238,0.147593108087369,0.141794184454615,0.123650166161497
GP10,0.000632581935863192,0.000752344699394258,0.000988493663845412,0.000592716555436317,0.000482679327296971,0.000645080140851452,0.00429177824399538,0.0032657150929382,0.00219779513431797,0.0171148635118624,0.00487149396600373,0.140042042453421,0.627264140154769,0.00435046238095169,0.0305902892187598,0.00360211491548295,0.000539866587124785,0.0199374773996243,0.000611272681963854,0.0125352257811912,0.000887974238249516,0.000814480905754183,0.000682752903806636,0.00251471005671728,0.0116548881970289,0.0145821802117836,0.0378336276058687,0.535379864649293,0.870363537203808,0.155355943886849,0.237352131928106,0.102569795804436,0.0157648403159836,0.0380417401286516,0.0201491485278123,0.00202495618410507,0.0115461589755914,0.144279610443218,0.0146491695353536,0.00964287325557971,0.0740636884444948,0.00141168740946137,0.0020400452814831,0.00542959939190011,0.00297799216572281,0.0254789279955835,0.0140039528100227,0.00771911264464548,0.00192467608097994,0.00368339111229555,0.00924980432855273,0.0113333403400709,0.0024606401632017,1,0.00103072819914347,0.0137168728681145,0.007398184661508,0.00814638882336062,0.0769421419264105,0.090345122335175,0.0022220751637461,0.041565841704706,0.00342854385841514,0.0205137347214798,0.0140440082654778,0.000799930064110775,0.0010162961618498,0.00179669457073666,0.00321371554100054,0.0524358332155435,0.0217724090506732,0.00751804403757918,0.0222820246733484,0.00311639948165039,0.0013466211890062,0.00236737577900694,0.00493618628868546,0.0012572440843328,0.0149523675227036,0.00604625424619544,0.00116075924646536,0.0359609561645631,0.0103280294768166,0.0102449093150886,0.00255430361822423,0.00204889645005999,0.00622566044785605,0.00412441990319519,0.00206471100544056,0.00632102241259678,0.0156660700564542,0.000298754440200926,0.00605596969962673,0.00122496143001424,0.00224539980191489,0.0032169083056943,0.0108076351810118,0.00521890515300808,0.00473429193975684,0.00201168989618573,0.00570944102950265,0.00408072610078674,0.041873259558348,0.000693479435645118,0.0019595554914678,0.0053793423162872,0.00491933156577702
