GP,CD4.A,CD4.B,CD4.C,CD4.D,CD4.E,CD4.F,CD4.G,CD4.H,CD4.I,CD4.P,CD4.Q,CD4.R,CD4.S,CD4.T,CD4.U,CD4.wM,CD4.wN,CD4.wZ,CD4.X,CD4.Y,CD8.A,CD8.B,CD8.C,CD8.D,CD8.E,CD8.F,CD8.G,CD8.H,CD8.I,CD8.J,CD8.K,CD8.P,CD8.Q,CD8.R,CD8.S,CD8.T,CD8.wM,CD8.wU,CD8.wV,CD8.wX,CD8.wY,CD8aa.A,CD8aa.B,CD8aa.C,CD8aa.D,CD8aa.E,CD8aa.P,CD8aa.wM,DN.A,DN.B,DN.C,DN.D,DN.E,DN.F,DN.G,DN.H,DN.I,DN.J,DN.P,DN.wM,DP.wA,DP.wB,DP.wC,DP.wD,DP.wE,DP.wF,DP.wG,DP.wH,DP.wM,DP.wP,DP.wX,DP.wY,gdT.A,gdT.B,gdT.C,gdT.D,gdT.E,gdT.F,gdT.G,gdT.H,gdT.I,gdT.J,gdT.K,gdT.P,gdT.Q,gdT.R,gdT.S,gdT.T,gdT.U,gdT.V,gdT.wM,gdT.X,gdT.Z,Treg.A,Treg.B,Treg.C,Treg.D,Treg.E,Treg.F,Treg.P,Treg.wM,Tz.A,Tz.B,Tz.C,Tz.D,Tz.P,Tz.wM
GP1,-0.0279662940548766,-0.0432022095663512,-0.0536991837706027,-0.0488975046466627,-0.0281373142477157,-0.027215588262864,-0.0133559493177274,-0.0390434231071949,-0.0211578794594792,0.0642395123462386,-0.00409678435653421,0.0387889866039667,-0.0317179970434717,-0.000447481760372126,-0.00974209241404911,-0.089949539997171,-0.114067358566179,0.0241055851522532,0.0661967396068926,0.124777460215468,-0.0453493468038274,-0.053138445751459,-0.0127371901057573,-0.0225340213104553,-0.0353364402049255,-0.0486328084889269,-0.0259693992127218,-0.016151538216721,0.00232444719098979,0.0145248912912896,0.0684920890631979,0.0466718696322813,-0.00310260348339886,-0.00403307375910972,0.0639120358605505,0.00245934485359661,-0.0851926845579681,-0.0835295043875186,0.0108607359539585,-0.0187504307049577,-0.0269069709482005,0.00220465857266905,-0.0146201537266729,0.121801080464518,0.0792004709404516,0.0714896092817825,0.0712543544565745,-0.0421958644654464,-0.0116054485160314,-0.0201738005125309,-0.0170588025721102,0.0113252319667015,-0.0127823617444893,0.0544249931420251,-0.00772489620934369,4.99570692229501e-05,-0.0203762054601304,-0.0289091940472475,0.0540469638836517,-0.0378755331770224,0.00671452937393768,0.0207533600018457,-0.0772586956691371,0.0112604463164866,-0.0123843514119465,0.0336045214779097,-0.0767629294131049,0.0210499721613713,-0.0655159054550773,0.058559399520207,0.0443155193050945,0.133008343927085,0.0381943967323662,0.118325883271412,0.124418381583966,0.081714713053646,-0.00641132826899138,0.0446859543104356,-0.021179828486535,-0.0506975491312138,-0.0196542381211098,-0.0184156539570444,-0.0210444076837595,0.0823384386856346,-0.0277970973532564,0.0418719124818972,0.0339349257000226,0.0603620861325982,-0.0565512470569446,-0.0428941571755472,-0.0371824198099048,-0.0113828031673475,0.00137214070723907,-0.0569950204079025,-0.0507922248180316,0.00139818969939781,-0.00533124198048485,-0.00344247042761242,0.00103827266046125,0.0595015286500596,-0.0603654737810669,-0.0156796869634648,-0.0112175999910402,-0.0474057554564671,0.0347318002463514,0.0447016622887297,-0.0472619909112469
GP2,-0.0312437873716991,-0.0265593833786299,-0.00418027219805311,-0.0217743882702152,-0.0104278780272393,-0.022699791581556,-0.0299723572923622,-0.0213599332372714,-0.0158043046996333,-0.0303191823747524,-0.0317392649955888,-0.0405923047875268,-0.0363515497793703,-0.0343332834652376,-0.034925737656465,0.311465435370122,-0.0448260830445407,-0.0405297758996742,-0.0365870255686417,-0.0217728663272134,-0.021329315542784,-0.0306882596123002,-0.0229472663982068,-0.0311298872931614,-0.0278092025103487,-0.0232641981815519,-0.0392964659066008,-0.0360982262806907,-0.0384587840558956,-0.0380365760214201,-0.0426732163650643,-0.0175006255161808,-0.0372060993394653,-0.0360464441607544,-0.0216440989083398,-0.0343171169988721,0.347510241787746,-0.0274800116657466,-0.0421278781567084,-0.028298563331833,-0.0375605887436889,-0.036210992829283,-0.0370141290226145,-0.0377559664905716,0.00418820998210524,-0.0387240289874785,-0.035487813864466,0.328213384486782,-0.0220468023639417,-0.0294616548055056,-0.0406186540152009,-0.0365927455343351,-0.0374786718957606,-0.0347014286536486,-0.0257087627686652,-0.0389856763436449,-0.0396496344559321,-0.0338186587080265,-0.0332350567563551,0.368243831100878,-0.0223770571631231,-0.0264468670784295,0.104028710329584,-0.0425149844774832,-0.044092185342456,-0.0271169143803138,-0.0324647819931522,-0.0171900605489854,0.279518946082814,-0.011216610035504,-0.03383300345879,-0.0238487779738896,-0.0373060814692872,-0.0385327032102408,-0.0376185283986749,0.00173419004199563,0.149109089931241,-0.0388567226241067,-0.0367734027213436,-0.031584062082386,-0.0315962492522901,0.0275826129284385,-0.0171062082930339,0.0157743545409684,-0.0372348046971963,-0.0338932494760058,-0.038430434288116,-0.0354357097990574,-0.0395769045959817,-0.0336366823202319,0.341250460268255,-0.044527297047302,-0.0406857513650657,-0.0233622845979056,-0.0150656149145004,-0.028670308300109,-0.0315262014491935,-0.0349340087531572,-0.0311087466893656,-0.0353193364176407,0.312366430720293,-0.0315509358423945,-0.0358158447266074,-0.0292315526722672,-0.0272154124789221,-0.0143986946880336,0.328511750492034
GP3,-0.0477491030948836,-0.0477264178799554,-0.0476849890455579,-0.0477001393469049,-0.0477433230221474,-0.0475999033652716,-0.047695589866112,-0.0473449371836624,-0.0469457846172742,-0.0430112757981433,-0.0284156693757117,-0.0475255644406429,-0.0473246948556322,-0.0471515935364056,-0.0452280435064519,-0.0471187084296487,-0.0477744991068228,0.0476230463938364,-0.0473214392067253,-0.0339730204867286,-0.0477391274940112,-0.0477192989145543,-0.0468050128743384,-0.047338992475576,-0.0476148665895084,-0.0477744730439184,-0.047572787119444,-0.035998720452065,-0.0395922581357876,-0.0467573713270833,-0.0412545731863201,-0.0419613147659953,-0.0176768122064201,-0.0131042322151236,0.110156417370766,0.0144199312593543,-0.0469356503615371,-0.0283230251168071,0.0137855361883968,-0.0440655801490632,-0.0460970838157591,0.0291053629879018,-0.0445824215610627,0.353466922867755,0.339754293371184,0.095538831979595,0.0794244160497445,0.0846613007735169,-0.0460221788382346,-0.045889479764943,-0.0466153821144915,-0.0424675680235057,-0.0355901654364142,-0.00777609275759224,-0.0341788430115417,-0.00810283951435618,-0.0409704006564228,-0.0458945005507387,-0.010790830850696,-0.0401063356206316,-0.0476137265989251,-0.0419392984944104,-0.0476835577302708,0.0168047100045038,0.0125892615294705,-0.0477743475266662,-0.0477740113992817,-0.0477744386081526,-0.0462731977598257,-0.0453535287923751,-0.010474770990045,0.201109408911393,0.1732510487748,0.36264658115768,0.346894393477246,0.338569456380343,0.18441000846405,0.196335912337609,-0.0449046189295444,-0.0457432868857566,-0.027717157127834,-0.0144321249098159,-0.0461373304983356,0.210485870756437,-0.0476599720131651,-0.0468809952164827,-0.0467739782198558,-0.0438098766345188,-0.0461419563700187,-0.0476141040788442,0.0710526962265919,-0.0477745199130214,0.299228362595023,-0.0475777383500181,-0.0476619890216801,-0.0473332455510249,-0.0453219140973007,-0.0470815909982452,-0.0475947970384065,-0.0470439816409798,-0.0466312319623032,-0.0456790066663172,-0.0409998907716039,-0.0471270333759723,-0.047099533268539,-0.0466309731034327,-0.042927130205601
GP4,0.0318999403314297,-0.0198023347282573,-0.0200721712647574,-0.00287736070113367,0.0172485953674006,-0.00224149813649727,-0.00610677110834892,0.0390405740439377,0.0176357474660099,0.0375828436328745,0.0209835077519842,-0.0163148261583188,-0.019826813950324,0.0491855419494223,0.074708851221481,-0.0187576962515394,0.245499986552811,-0.0369725823585424,0.00641712406306691,0.01765664793976,-0.00616145431888432,-0.0331066394801823,-0.00891824393850493,-0.00674761813657426,0.0102492315494102,-0.0200260884275465,0.0317439567540664,0.0127060138983473,-0.000260021469143279,0.00948118633720627,0.0129361151643187,-0.00326635925460803,0.000685175436301588,0.0243324258865699,-0.011819137978854,0.00736174076590795,-0.0417239782135951,-0.0150138305923464,-0.0553399709653426,0.0645648225889136,-0.0518757773204976,0.00444018483520217,0.0244285616402359,0.0132642327713605,-0.0496022198427563,-0.0125053605794912,0.0514293144788191,-0.0196611869976439,0.0134456687715941,-0.0209094458478765,0.0404514930229785,-0.0248941758752952,-0.0178371041160552,-0.00873577947456278,-0.000186650259297094,0.00170749281784544,0.0084466152817832,0.00965974964774313,0.0225931229204756,-0.0623647116368686,-0.0184293027351185,-0.0261305575580052,-0.0829149745242133,-0.0498026281891499,-0.0509460069414645,-0.0351188146166188,-0.0355373864537913,-0.0587660285334795,-0.0158945053323468,-0.0329752170633926,-0.0143879772537144,-0.0350428588152021,-0.013615069714854,0.00917817201888221,0.0188877248198191,-0.0561557714530357,-0.0395964354024576,0.0133881818027291,0.00889220099471935,0.0395241168105066,0.00483147728938774,-0.0189483507359672,-0.00451158717314823,0.0522758924785128,-0.0100389331124599,-0.0408399135082414,0.093825605651184,-0.00519583374175805,0.0805426520641181,0.00377091484363756,0.00342360749556078,-0.114335643752981,-0.0111206373933563,0.0130025405784115,0.00572627710201179,0.0383947200960864,0.0314631967808623,0.0277283574739366,-0.0169753358177436,-0.00642779272658223,-0.0195128384812917,0.0194705748023586,0.0171288336624763,0.0345463464743803,-0.0291483218486685,0.0443045939980599,-0.0257959198642141
GP5,-0.0165157989580442,-0.0164898756572413,-0.0161298109916552,-0.0164416429169626,-0.0158668926954199,-0.0157830073067136,-0.0145276629867765,-0.0136983128732279,-0.0114169188793113,0.190896386103821,-0.0134924630035947,-0.0117105152485821,-0.0163660411085646,-0.0157885386746713,-0.0166054865877236,-0.0159924882753512,-0.0163176435299783,-0.0117841464563539,-0.0161577952606812,-0.0155013632504577,-0.0162702602683075,-0.016411538436248,-0.013884002125763,-0.0152375152705336,-0.0147701792238684,-0.0148191779515628,-0.0162627448232079,-0.0155450710798681,-0.0160532384972399,-0.0156068661809846,0.0654283621251559,0.173097880747144,-0.0159443828338666,-0.0159140044134407,-0.0138819812107699,-0.0141808572024102,-0.0157579730866978,-0.00893731573548671,-0.0110427535400635,-0.0148788556223935,-0.0160717970134822,-0.0163851546600169,-0.016384266475983,-0.0164445357529789,-0.0159118683545947,-0.016384200767731,0.0898391892040716,-0.0160656160058933,-0.0161118261910869,-0.0146775842559724,-0.0163874164571349,-0.0160795048492,-0.0165394688775103,-0.00365991630463167,-0.0166197393846636,-0.00937378782711498,-0.0163570104426567,-0.0160901969148602,0.24086713026181,-0.0150481500022275,-0.0149338079387491,-0.015474301685985,-0.015868307699962,-0.0128362716456912,-0.00998165780561804,-0.0166294451818266,-0.0158779021836155,-0.0138867280722333,-0.0134184455932101,0.232767379809273,-0.0161667349023002,-0.0166177961485387,-0.015744126394642,-0.0165412740093567,-0.0163025030172524,-0.016489300610016,-0.012071173536429,-0.0163911299891159,-0.0164001752405924,-0.0165576450763631,-0.0162343155293409,0.0288451361382538,-0.0163140642179377,0.0926434323746186,-0.0164423360390309,-0.0157011571013103,-0.0164462103239176,-0.0156839797047552,-0.016234626388307,-0.0160784423335528,-0.015192261462371,-0.0166233504772564,-0.0162275164423604,-0.0163852469490198,-0.0161970782780679,-0.0150018809249877,-0.0162547455616039,-0.0163518889896629,-0.016335753650848,0.189633502872382,-0.0156006947641325,-0.016194880115334,-0.0163096205532693,-0.0162709073536496,-0.0162650150494041,0.176909437990584,-0.0158159759837341
GP6,-0.0553902118205168,-0.0552461150231632,-0.0553326218643613,-0.0553928416237276,-0.0552635346621275,-0.0498724410137153,-0.0339436268917108,-0.0363747297878979,-0.0224923614736821,0.0423201869530451,0.0450443347399964,0.0030885961560398,-0.0355317365895403,0.214275738454207,0.215406967670448,-0.0466951384641089,-0.0550170387086398,-0.0468102405411842,0.287976997143568,0.50570042074177,-0.0553621491864031,-0.0551255560717975,-0.0543326744360252,-0.053445646368771,-0.0550775763203109,-0.0552732293673311,-0.0446692180263752,-0.0334211545895284,-0.0313037473405933,-0.026276905937409,-0.0128981487492798,-0.0347135710092882,-0.00878678372237413,-0.0165167975878441,-0.0017874659420915,-0.0541237101118206,-0.052577121132263,-0.0495788924650983,-0.0516647697441492,-0.0367218019321126,-0.047018791985125,-0.0546237409380086,-0.0489839788637488,-0.0527275499721901,-0.0539765408409182,-0.0530581766432153,-0.0521188779546166,-0.0535001181623042,-0.0489196463222178,-0.0481929137960676,-0.0551097961502041,-0.0545368842625986,-0.00355799596021575,-0.0527492161799978,-0.0529816688359373,-0.0379768953620907,-0.0501353768232694,-0.0299176608669057,-0.0447307235311626,-0.0436159251866294,-0.0551415758184187,-0.0210660424058118,-0.0550323321530959,-0.0503490734948687,-0.0494926729176895,-0.0551947771916417,-0.0555952770160934,-0.040257484660519,-0.0492721979208307,-0.0268307727962772,-0.048986055289114,-0.0453417527415305,-0.0411519239788085,-0.053120846363198,-0.0534769254518902,-0.0537606296257987,-0.0464610578759219,-0.0546884534834689,-0.0531010193438621,-0.0477608069164705,-0.0542184034681106,-0.0501047899228721,-0.0550324846459625,0.0176856633100074,0.116635826921639,0.365150571747306,0.328448106372924,0.376037555407202,0.249975150257412,0.183478880237564,0.00776016071851898,-0.0273765931767612,0.0434335372605188,-0.0501383181489508,-0.0170707113578817,0.0390250526824413,0.151672190524209,0.196365683122345,0.0372833714258548,0.00230211881439636,0.0106166542989447,-0.0381262925305946,-0.0501573282203939,-0.0500451094532448,0.190156881403486,-0.0157297724308637,0.0596928715797686
GP7,-0.00379841899186424,-0.00381606517306823,-0.00371881723479866,-0.00381573201980514,-0.00378763499411201,-0.00383474003907427,-0.00377674186976837,-0.00385610656808464,-0.00338888584807323,-0.00360302120099703,-0.00385455781701347,-0.00388409051219577,-0.00388408533485486,-0.00358242810903073,-0.00388409582334379,-0.00365274420482521,-0.00388408747336236,-0.00268541043797612,-0.00381716345225586,-0.0037665058559408,-0.00371345106101625,-0.00381957356056388,-0.00381023758899597,-0.00380668110248426,-0.0037460110873184,-0.0038311700587569,-0.00388408673601943,-0.00376938674006152,-0.00388409124238273,-0.00385258165745694,-0.00379627695085023,-0.00355221697933308,-0.00378500768970517,-0.00375020087486926,-0.00380946270555636,-0.00366412370729449,-0.00352854984285399,-0.0036027903265565,-0.00372463635864841,-0.00298047136328469,-0.00388408907061839,-0.00366593271220296,-0.00365013873045115,-0.00365881672005208,-0.00363006953744997,-0.00367748326509599,-0.00372212879844368,-0.00381005947039708,-0.00255051058935349,-0.00231485121512692,-0.00251239057639511,-0.00359731996360743,-0.00321649777696167,-0.00388409731825355,-0.0038841030087154,0.000786508426464961,-0.00356947216329924,-0.00359736143014357,-0.00368750457842877,-0.00333440234081036,-0.00109887135473784,-0.00243622652375302,-0.00244763569912823,-0.00264946728456421,-0.00324656504528699,0.0164632391885357,0.225398291372635,-0.00343611815864216,0.0348925912843415,0.0287245028654509,-0.0037823141302524,-0.00363994657029447,-0.00339312432396298,-0.00361960484156257,-0.00384893832654213,-0.00333485150175916,-0.00364718948016016,-0.00367025854282482,-0.00377499445663326,-0.00382703721721649,-0.00264241436664592,-0.00312456092281295,-0.00311763859420581,0.0114552175490355,-0.00381380842633457,-0.00364697441150508,-0.00363726370323354,-0.003863541320174,-0.00368231121164263,-0.00379620056454576,-0.00314404554096256,-0.00388407958110037,0.0393761877465094,-0.00374942837555391,-0.00376682327497756,-0.00380018476000218,-0.00378221469663811,-0.00385043318120481,-0.00381856005767112,-0.00384941885492153,-0.00361963159302899,-0.00375188741960386,-0.00383545228481335,-0.00388065523653629,-0.00377569577662456,-0.00364945013023519,-0.00331115083041739
GP8,-0.00544064962452727,-0.00543093261826285,-0.00543100168775477,-0.00544322611521281,-0.0054432269297229,-0.00544322580254143,-0.00542893323975781,-0.00536361218084738,-0.00531311362283511,-0.0053962379763243,-0.00533424587702131,-0.00544322579913194,-0.0054432243151998,-0.00506646825707396,-0.00544322255568398,-0.00532707140528342,-0.00544322471793616,-0.00544322621762379,-0.00533347637009135,-0.00489612650351052,-0.00544280826637605,-0.00543384010831917,-0.00544322683521939,-0.00543009359495038,-0.00544322530460435,-0.00544322542483066,-0.00544322534738546,-0.00540437579236637,-0.00544322466410785,-0.00544322562873613,-0.00544322647199226,-0.0053536720291031,-0.00514363395397521,-0.00537297381991647,-0.00544322431846055,-0.00469885207248285,-0.00538128592236366,-0.00544322525351813,-0.00521340678094575,-0.00544322541312234,-0.00544322517255691,-0.00528788688890389,-0.00526449438952234,-0.00544322567694031,-0.00540306616130315,-0.00513615554954188,-0.00524447282393775,-0.00544322532297608,-0.0054102118087407,-0.00540933848234095,-0.00544322575514905,-0.00530622587640437,-0.000713628995961502,-0.00544322445075411,-0.00544322691663044,-0.00435137536438413,-0.00544322537282026,-0.0054432264965128,-0.00423281506612835,-0.00469900460485389,-0.00544322634976422,-0.00544322586032705,-0.00544322653802326,-0.0054432261581354,-0.00543143113443968,-0.00544322344114562,-0.00544322726727026,-0.00544322544123072,-0.0054432255010661,-0.00544322506564706,-0.00497696671861266,-0.00282496924724735,-0.00543702900801671,-0.00541572256122473,-0.00544322549388585,-0.00518507510300541,-0.0034719361614442,-0.00516331672047138,-0.00506503809552085,-0.00544322595347318,-0.00506194982365893,-0.0054432253675999,-0.0054432264721413,0.12987270739901,-0.00544322080143526,-0.004498806884442,-0.00535532737274033,-0.00503696882208682,-0.00411902564688106,-0.00538703890653596,-0.00375180374809063,-0.00544321971326377,0.415518520579233,-0.00543057164754947,-0.0054366292586486,-0.00544322361055278,-0.00542246519723288,-0.00524965114351677,-0.00540888411603963,-0.00544322191817017,-0.00517788557893697,-0.00541327275682943,-0.00524645520777126,-0.00541280452442165,-0.00483454367166299,-0.00544322647046102,-0.00357826150213999
GP9,0.00231942125467709,-0.0055169477042169,0.113272136388955,0.0449223664773729,0.0369003675432041,0.0527502097996636,-0.0144137906728604,0.0110689809313669,0.0142334230808142,-0.0073836743436913,-0.027412343883861,-0.0297203803435408,-0.0263897470153678,-0.0422043107091704,-0.0397956217551795,0.0817139342784019,-0.0713362747273651,0.0397860867711791,-0.0354009975406311,-0.0390472124631078,0.0579268914495773,-0.0192569260531036,-0.0229739313373553,0.0308694290579232,0.010179417400912,0.0506936992819921,-0.0270123579156568,-0.0173752009225442,-0.025405461723367,-0.0205871033545162,-0.0113765818821589,0.0162761649630594,-0.0204228909407274,-0.031381749299196,-0.0238932523836972,-0.0155369255903058,0.0709975301796731,0.0883152872872625,0.0501215719145746,-0.0168999822756071,-0.0185406194912118,-0.0165306348370405,-0.0184908491943527,-0.0147636935715249,-0.00897079984520267,-0.0261070434921116,-0.0253149025887851,-0.0161063381850153,-0.0252357984526145,-0.00467101254453689,-0.0422973177401787,-0.0355551632907272,-0.0333309372662635,-0.0288920892532062,-0.0289443528010057,-0.0315587356891448,-0.0328897610185341,-0.0432960027131517,-0.0326869143833012,-0.0141264542880377,-0.0105753468688971,-0.00945733881820636,0.530680385874791,0.0477859928968523,0.044959880112142,-0.0120522670780676,-0.0179593450655779,0.0448952278187308,0.129913147164497,0.0486352935404322,-0.0380375766137526,-0.0207524813242728,-0.0128376134445039,-0.0129311105825256,-0.0241820145706214,-0.00784010084239785,-0.0206627083908228,-0.0260801995127928,-0.0292344425934617,0.000165030595238619,-0.0243413635175441,0.0196341265274787,0.0298678066611974,-0.0291557057029182,-0.0163846717157248,-0.0342379972188774,-0.0324184928793205,-0.0315070983539306,0.00731978945354649,0.0127701001137221,-0.0213953230899205,-0.0553948424045759,-0.0391893275517383,0.0311065657864835,0.0261257759147302,0.00529750333872486,-0.0155314587947199,-0.0202197094506732,-0.00625323547496616,0.00202321395066002,-0.0238632427271208,-0.028024585698282,-0.0223913059422425,-0.00130174120395699,-0.000574887553274034,-0.00418901689612237,-0.0154971204448466
GP10,-0.0167223526128994,-0.0166778647381939,-0.0165901432692449,-0.0167371612729305,-0.0167780364354106,-0.0167177099463379,-0.0153630831531827,-0.0157442314129448,-0.0161409280815407,-0.0105997343967308,-0.0151477380856081,0.035063615157117,0.216050384309875,-0.0153412839523699,-0.0055940629110661,-0.0156192700917872,-0.016756793274557,-0.00955122742111974,-0.0167302682904405,-0.0123009171646608,-0.0166274828853286,-0.0166547832086624,-0.0167037157706129,-0.0160232047513142,-0.012627933233663,-0.0115405418230175,-0.00290340413604772,0.181918438656886,0.306353707296384,0.0407522190949022,0.0712110698458095,0.0211439245562767,-0.0111012230148705,-0.00282609727066455,-0.00947259865244442,-0.0162051319904569,-0.0126683225152521,0.0366377304182205,-0.0115156575222071,-0.0133753297196967,0.0105548558409251,-0.0164329408986914,-0.0161995268937325,-0.0149404205227221,-0.0158511108899915,-0.00749276323299285,-0.0117553340292291,-0.0140899426636477,-0.0162423827062199,-0.015589078693779,-0.0135213417242683,-0.0127473775446526,-0.0160432899144913,0.354509332167603,-0.016574454547148,-0.0118619746586662,-0.0142091567121746,-0.013931223805274,0.0116241053645125,0.0166028658366759,-0.0161319088599129,-0.00151701100092152,-0.0156837459539974,-0.00933716703392608,-0.0117404547626606,-0.0166601883613226,-0.0165798155679523,-0.0162899235713808,-0.0157635475132346,0.0025208285255408,-0.00886961147490899,-0.0141646329491307,-0.00868030625765203,-0.015799697185533,-0.0164571108307957,-0.0160779345245204,-0.0151237070440638,-0.0164903114460539,-0.011403029576137,-0.0147113537987623,-0.0165261523472779,-0.00359903915639175,-0.0131208170212136,-0.0131516933907247,-0.0160084970629516,-0.0161962389796344,-0.0146447103748337,-0.0154252511983824,-0.0161903643994431,-0.0146092865835485,-0.011137912874064,-0.0168463584003612,-0.0147077448316492,-0.0165023033760841,-0.0161232445342928,-0.0157623615075725,-0.0129426594883779,-0.0150186864095858,-0.015198704065125,-0.0162100599742255,-0.0148364686820666,-0.0154414819895703,-0.00140281551518095,-0.0166997312215729,-0.0162294261678282,-0.0149590893511377,-0.0151299680118207
